player.name,team.name,position,age,market_value_raw,market_value_eur
Michael Zetterer,SV Werder Bremen,"Michael Zetterer            




            Goalkeeper",12/07/1995 (28),€3.00m,3000000.0
Jiri Pavlenka,SV Werder Bremen,"Jiri Pavlenka            




            Goalkeeper",14/04/1992 (32),€1.50m,1500000.0
Dudu,SV Werder Bremen,"Dudu            




            Goalkeeper",10/02/1999 (25),€200k,200000.0
Spyros Angelidis,SV Werder Bremen,"Spyros Angelidis            




            Goalkeeper",28/01/2005 (19),-,
Marco Friedl,SV Werder Bremen,"Marco Friedl  




            Centre-Back",16/03/1998 (26),€7.50m,7500000.0
Niklas Stark,SV Werder Bremen,"Niklas Stark            




            Centre-Back",14/04/1995 (29),€5.50m,5500000.0
Milos Veljkovic,SV Werder Bremen,"Milos Veljkovic            




            Centre-Back",26/09/1995 (28),€4.50m,4500000.0
Amos Pieper,SV Werder Bremen,"Amos Pieper  




            Centre-Back",17/01/1998 (26),€4.00m,4000000.0
Julián Malatini,SV Werder Bremen,"Julián Malatini            




            Centre-Back",31/05/2001 (23),€2.50m,2500000.0
Anthony Jung,SV Werder Bremen,"Anthony Jung            




            Centre-Back",03/11/1991 (32),€1.00m,1000000.0
Olivier Deman,SV Werder Bremen,"Olivier Deman            




            Left-Back",06/04/2000 (24),€5.00m,5000000.0
Felix Agu,SV Werder Bremen,"Felix Agu            




            Left-Back",27/09/1999 (24),€4.00m,4000000.0
Mitchell Weiser,SV Werder Bremen,"Mitchell Weiser  




            Right-Back",21/04/1994 (30),€6.00m,6000000.0
Senne Lynen,SV Werder Bremen,"Senne Lynen            




            Defensive Midfield",19/02/1999 (25),€7.00m,7000000.0
Ilia Gruev,SV Werder Bremen,"Ilia Gruev            




            Defensive Midfield",06/05/2000 (24),€5.00m,5000000.0
Skelly Alvero,SV Werder Bremen,"Skelly Alvero            




            Defensive Midfield",04/05/2002 (22),€4.00m,4000000.0
Nicolai Rapp,SV Werder Bremen,"Nicolai Rapp  




            Defensive Midfield",13/12/1996 (27),€700k,700000.0
Christian Groß,SV Werder Bremen,"Christian Groß            




            Defensive Midfield",08/02/1989 (35),€300k,300000.0
Jens Stage,SV Werder Bremen,"Jens Stage            




            Central Midfield",08/11/1996 (27),€7.50m,7500000.0
Leonardo Bittencourt,SV Werder Bremen,"Leonardo Bittencourt







 




            Central Midfield",19/12/1993 (30),€2.50m,2500000.0
Naby Keïta,SV Werder Bremen,"Naby Keïta            




            Central Midfield",10/02/1995 (29),€2.00m,2000000.0
Jakob Löpping,SV Werder Bremen,"Jakob Löpping            




            Central Midfield",20/06/2003 (21),€125k,125000.0
Cimo Röcker,SV Werder Bremen,"Cimo Röcker            




            Central Midfield",21/01/1994 (30),-,
Romano Schmid,SV Werder Bremen,"Romano Schmid            




            Attacking Midfield",27/01/2000 (24),€10.00m,10000000.0
Isak Hansen-Aarøen,SV Werder Bremen,"Isak Hansen-Aarøen            




            Attacking Midfield",22/08/2004 (19),€1.50m,1500000.0
Leon Opitz,SV Werder Bremen,"Leon Opitz            




            Attacking Midfield",11/04/2005 (19),€600k,600000.0
Kein Sato,SV Werder Bremen,"Kein Sato            




            Left Winger",11/07/2001 (22),-,
Justin Njinmah,SV Werder Bremen,"Justin Njinmah            




            Right Winger",15/11/2000 (23),€9.00m,9000000.0
Niclas Füllkrug,SV Werder Bremen,"Niclas Füllkrug            




            Centre-Forward",09/02/1993 (31),€15.00m,15000000.0
Marvin Ducksch,SV Werder Bremen,"Marvin Ducksch            




            Centre-Forward",07/03/1994 (30),€9.00m,9000000.0
Rafael Borré,SV Werder Bremen,"Rafael Borré            




            Centre-Forward",15/09/1995 (28),€8.00m,8000000.0
Nick Woltemade,SV Werder Bremen,"Nick Woltemade            




            Centre-Forward",14/02/2002 (22),€4.00m,4000000.0
Dawid Kownacki,SV Werder Bremen,"Dawid Kownacki

 




            Centre-Forward",14/03/1997 (27),€2.00m,2000000.0
Oliver Burke,SV Werder Bremen,"Oliver Burke            




            Centre-Forward",07/04/1997 (27),€2.00m,2000000.0
Joel Imasuen,SV Werder Bremen,"Joel Imasuen  




            Centre-Forward",27/10/2004 (19),-,
Kevin Müller,1.FC Heidenheim 1846,"Kevin Müller            




            Goalkeeper",15/03/1991 (33),€1.00m,1000000.0
Vitus Eicher,1.FC Heidenheim 1846,"Vitus Eicher            




            Goalkeeper",05/11/1990 (33),€250k,250000.0
Frank Feller,1.FC Heidenheim 1846,"Frank Feller            




            Goalkeeper",07/01/2004 (20),€200k,200000.0
