player.name,market_value_eur
Robin Zentner,300000000.0
Daniel Batz,250000.0
Lasse Rieß,700000.0
Sepp van den Berg,2800000000.0
Andreas Hanche-Olsen,500000000.0
Dominik Kohr,200000000.0
Maxim Leitsch,150000000.0
Danny da Costa,120000000.0
Stefan Bell,600000.0
Lasse Wilhelm,325000.0
Maxim Dal,150000.0
Phillipp Mwene,150000000.0
Tim Müller,175000.0
Anthony Caci,1000000000.0
Silvan Widmer,800000.0
Anton Stach,2000000000.0
Tom Krauß,350000000.0
Edimilson Fernandes,250000000.0
Josuha Guilavogui,250000.0
Leandro Barreiro,1500000000.0
Nadiem Amiri,1700000000.0
Merveille Papela,600000.0
Brajan Gruda,2800000000.0
Jae-sung Lee,200000000.0
Marco Richter,150000000.0
Aymen Barkok,450000.0
Anwar El Ghazi,900000.0
David Mamutovic,175000.0
Jonathan Burkardt,3500000000.0
Nelson Weiper,1200000000.0
Ludovic Ajorque,350000000.0
Karim Onisiwo,500000.0
Jessic Ngankam,100000000.0
Marcus Müller,500000.0
Noah Atubolu,2000000000.0
Florian Müller,120000000.0
Jaaso Jantunen,300000.0
Benjamin Uphoff,300000.0
Niklas Sauter,150000.0
Philipp Lienhart,1200000000.0
Matthias Ginter,600000000.0
Keven Schlotterbeck,600000000.0
Attila Szalai,200000000.0
Manuel Gulde,
Max Rosenfelder,800000000.0
Christian Günter,200000000.0
Jordy Makengo,600000000.0
Kenneth Schmidt,800000.0
Roland Sallai,1000000000.0
Kiliann Sildillia,700000000.0
Lukas Kübler,150000000.0
Yannik Keitel,200000000.0
Nicolas Höfler,500000.0
Fabian Rüdlin,250000.0
Maximilian Eggestein,1000000000.0
Mika Baur,300000000.0
Merlin Röhl,1600000000.0
Daniel-Kofi Kyereh,300000.0
Ryan Johansson,300000.0
Vincenzo Grifo,500000000.0
Noah Weißhaupt,350000000.0
Florent Muslija,180000000.0
Ritsu Doan,2500000000.0
Maximilian Philipp,600000.0
Michael Gregoritsch,150000000.0
Lucas Höler,300000000.0
Junior Adamu,500000000.0
Maximilian Breunig,100000000.0
Péter Gulácsi,200000000.0
Janis Blaswich,700000.0
Timo Schlieck,400000.0
Leopold Zingerle,400000.0
Castello Lukeba,4500000000.0
Mohamed Simakan,2000000000.0
El Chadaille Bitshiabu,1500000000.0
Willi Orbán,600000000.0
Lukas Klostermann,350000000.0
Jonathan Norbye,300000.0
Tim Köhler,300000.0
David Raum,2000000000.0
Christopher Lenz,400000.0
Benjamin Henrichs,1200000000.0
Hugo Novoa,100000000.0
Nicolas Seiwald,1800000000.0
Xaver Schlager,1000000000.0
Amadou Haidara,600000000.0
Kevin Kampl,
Ilaix Moriba,1000000000.0
Xavi Simons,6000000000.0
Dani Olmo,6000000000.0
Eljif Elmas,1400000000.0
Christoph Baumgartner,2000000000.0
Fábio Carvalho,1200000000.0
Nuha Jatta,200000.0
