player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Aaren D''Silva,0.0,1.0,0.0,43.0,26.0,0.0,1.0,2.0,0.0,0.0,3.0,0.6046511627906976,9,873,9,0,97.0,0.0
Aaron Cresswell,2.0,4.0,27.0,1874.0,1402.0,0.0,38.0,107.0,0.0,0.0,26.0,0.7481323372465315,37,3398,0,1,91.83783783783784,0.027027027027027
Aaron Hughes,0.0,0.0,0.0,118.0,86.0,0.0,1.0,5.0,0.0,0.0,3.0,0.7288135593220338,2,181,0,0,90.5,0.0
Aaron Hunt,1.0,2.0,24.0,870.0,625.0,0.0,7.0,9.0,1.0,0.0,32.0,0.7183908045977011,23,1977,3,8,85.95652173913044,0.3478260869565217
Aaron Lennon,5.0,1.0,18.0,526.0,407.0,0.0,14.0,12.0,0.0,0.0,16.0,0.7737642585551331,26,2222,9,8,85.46153846153847,0.3076923076923077
Aaron Long,0.0,0.0,1.0,50.0,43.0,0.0,3.0,1.0,0.0,0.0,3.0,0.86,1,94,0,0,94.0,0.0
Aaron Mattia Tabacchi,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,92,1,0,92.0,0.0
Aaron Mooy,0.0,0.0,4.0,425.0,339.0,0.0,6.0,17.0,0.0,0.0,10.0,0.7976470588235294,7,653,0,0,93.28571428571428,0.0
Aaron Ramsey,6.0,4.0,75.0,2597.0,2180.0,0.0,40.0,37.0,1.0,0.0,71.0,0.8394301116673084,40,3605,2,7,90.125,0.175
Aaron Salem Boupendza Pozzi,0.0,0.0,3.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7333333333333333,1,95,1,0,95.0,0.0
Aaron Tshibola,1.0,0.0,1.0,70.0,61.0,0.0,3.0,1.0,0.0,0.0,6.0,0.8714285714285714,6,551,5,1,91.83333333333331,0.1666666666666666
Aarón Escandell Banacloche,0.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,1,94,0,0,94.0,0.0
Aarón Martín Caricol,0.0,0.0,0.0,147.0,105.0,0.0,5.0,8.0,1.0,0.0,6.0,0.7142857142857143,5,459,0,0,91.8,0.0
Aarón Níguez Esclapez,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5263157894736842,1,81,0,1,81.0,1.0
Abbey-Leigh Stringer,0.0,0.0,8.0,417.0,336.0,0.0,14.0,14.0,0.0,0.0,27.0,0.8057553956834532,16,1342,7,6,83.875,0.375
Abbi Grant,0.0,0.0,1.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6428571428571429,2,187,2,0,93.5,0.0
Abbie Larkin,0.0,0.0,2.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,3,285,3,0,95.0,0.0
Abbie Magee,0.0,0.0,0.0,38.0,27.0,0.0,4.0,2.0,0.0,0.0,0.0,0.7105263157894737,3,270,2,0,90.0,0.0
Abbie McManus,0.0,0.0,1.0,1514.0,1221.0,0.0,33.0,146.0,0.0,0.0,12.0,0.8064729194187582,27,2428,1,2,89.92592592592592,0.074074074074074
Abby Dahlkemper,0.0,0.0,2.0,1457.0,1239.0,0.0,17.0,95.0,0.0,0.0,11.0,0.8503774879890186,25,2307,1,1,92.28,0.04
Abby Erceg,2.0,0.0,17.0,595.0,483.0,0.0,26.0,72.0,0.0,0.0,3.0,0.8117647058823529,15,1369,0,0,91.26666666666668,0.0
Abby Smith,0.0,0.0,0.0,139.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258992805755396,4,343,0,1,85.75,0.25
Abdalla Mahmoud El Said Bekhit,0.0,1.0,2.0,147.0,113.0,0.0,2.0,1.0,0.0,0.0,1.0,0.7687074829931972,3,238,0,1,79.33333333333333,0.3333333333333333
Abdallah Dipo Sima,0.0,1.0,2.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,2,168,1,1,84.0,0.5
Abdallahi Mohamed Mahmoud,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1,91,1,0,91.0,0.0
Abdelaziz Barrada,1.0,6.0,27.0,1128.0,833.0,0.0,19.0,18.0,0.0,0.0,28.0,0.7384751773049646,27,2153,8,14,79.74074074074075,0.5185185185185185
Abdelhamid El Kaoutari,1.0,0.0,3.0,581.0,463.0,0.0,16.0,55.0,1.0,0.0,9.0,0.7969018932874354,15,1372,1,0,91.46666666666668,0.0
Abdelhamid Sabiri,1.0,1.0,4.0,58.0,46.0,0.0,5.0,5.0,0.0,0.0,3.0,0.7931034482758621,5,419,3,2,83.8,0.4
Abdelkader Mohamed Ghezzal,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,92,1,0,92.0,0.0
Abdelkarim Hassan Al Haj Fadlalla,0.0,0.0,6.0,158.0,125.0,0.0,3.0,7.0,0.0,0.0,2.0,0.7911392405063291,3,277,0,0,92.33333333333331,0.0
Abderrazak Hamdallah,0.0,0.0,2.0,16.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.5,4,375,4,0,93.75,0.0
Abdessamad Ezzalzouli,0.0,0.0,5.0,55.0,40.0,0.0,3.0,1.0,0.0,0.0,7.0,0.7272727272727273,7,636,5,2,90.85714285714286,0.2857142857142857
Abdiel Armando Ayarza Cocanegra,0.0,1.0,3.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,0.8888888888888888,4,364,4,0,91.0,0.0
Abdiel Arroyo Molinar,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333333333333334,2,185,2,0,92.5,0.0
Abdou Diallo,0.0,0.0,5.0,624.0,537.0,0.0,8.0,25.0,1.0,0.0,16.0,0.8605769230769231,12,1045,1,4,87.08333333333333,0.3333333333333333
Abdou Kader Mangane,1.0,1.0,15.0,1006.0,753.0,0.0,40.0,178.0,1.0,0.0,38.0,0.7485089463220675,30,2691,3,1,89.7,0.0333333333333333
Abdoul Bamo Meité,0.0,0.0,0.0,41.0,39.0,0.0,2.0,2.0,0.0,0.0,0.0,0.951219512195122,1,92,0,0,92.0,0.0
Abdoul Fessal Tapsoba,0.0,1.0,1.0,30.0,18.0,0.0,1.0,2.0,0.0,0.0,7.0,0.6,4,325,2,2,81.25,0.5
Abdoul Karim Yoda,0.0,0.0,8.0,539.0,400.0,0.0,23.0,20.0,1.0,0.0,16.0,0.7421150278293135,19,1710,10,1,90.0,0.0526315789473684
Abdoul Razack Guiebre,0.0,0.0,2.0,34.0,23.0,0.0,4.0,2.0,0.0,0.0,1.0,0.6764705882352942,1,76,0,1,76.0,1.0
Abdoul Razzagui Camara,2.0,0.0,29.0,467.0,330.0,0.0,16.0,15.0,2.0,0.0,23.0,0.7066381156316917,17,1479,0,5,87.0,0.2941176470588235
Abdoulay Konko,0.0,0.0,13.0,1132.0,869.0,0.0,30.0,61.0,0.0,0.0,44.0,0.7676678445229682,21,1787,1,3,85.0952380952381,0.1428571428571428
Abdoulaye Ba,0.0,0.0,1.0,45.0,30.0,0.0,6.0,14.0,0.0,0.0,5.0,0.6666666666666666,2,134,0,1,67.0,0.5
Abdoulaye Bamba,0.0,0.0,0.0,56.0,49.0,0.0,2.0,3.0,0.0,0.0,0.0,0.875,2,182,0,0,91.0,0.0
Abdoulaye Diallo,0.0,0.0,0.0,169.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757396449704142,7,643,0,0,91.85714285714286,0.0
Abdoulaye Doucouré,2.0,4.0,30.0,1154.0,977.0,0.0,31.0,21.0,2.0,0.0,29.0,0.8466204506065858,31,2702,7,3,87.16129032258064,0.0967741935483871
Abdoulaye Keita,0.0,0.0,0.0,23.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.6086956521739131,4,371,4,0,92.75,0.0
Abdoulaye Sadio Diallo,2.0,2.0,16.0,380.0,290.0,0.0,6.0,10.0,0.0,0.0,19.0,0.7631578947368421,15,1131,6,9,75.4,0.6
Abdoulaye Seck,1.0,0.0,5.0,61.0,53.0,0.0,0.0,5.0,0.0,0.0,1.0,0.8688524590163934,2,186,1,0,93.0,0.0
Abdoulaye Touré,0.0,0.0,2.0,178.0,147.0,0.0,6.0,6.0,0.0,0.0,7.0,0.8258426966292135,6,559,3,0,93.16666666666669,0.0
