player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy
Rianna Dean,0,0,14,214,156,0,5,3,0,0,17,0.7289719626168224
Josie Green,0,0,13,460,323,0,18,36,0,0,23,0.7021739130434783
Hannah Godfrey,0,0,0,337,278,0,4,45,0,0,3,0.8249258160237388
Millie Turner,2,0,29,1710,1531,0,39,257,0,0,20,0.8953216374269006
Lauren James,12,4,68,621,476,0,13,8,1,1,33,0.7665056360708534
Ashleigh Neville,2,1,8,609,445,0,24,61,1,0,17,0.7307060755336617
Jackie Groenen,1,4,28,1910,1462,0,48,38,1,0,67,0.7654450261780105
Kirsty Hanson,8,3,41,468,261,0,12,8,0,0,27,0.5576923076923077
Martha Harris,0,0,10,707,530,0,16,63,0,0,16,0.7496463932107497
Rebecca Leigh Spencer,0,0,0,836,595,0,0,1,0,0,0,0.7117224880382775
Chloe Peplow,0,0,2,100,86,0,3,5,0,0,0,0.86
Anna Filbey,1,0,1,110,77,0,4,17,0,0,1,0.7
Kit Graham,1,1,28,523,333,0,8,16,0,0,15,0.6367112810707457
Hayley Ladd,1,5,19,898,657,0,26,40,0,0,35,0.7316258351893096
Katie Zelem,4,3,47,1541,1143,0,36,57,2,0,26,0.7417261518494485
Rachel Furness,0,0,6,91,56,0,2,7,0,0,1,0.6153846153846154
Amy Turner,0,0,15,1325,1051,0,52,179,2,0,39,0.7932075471698113
Leah Galton,10,5,48,795,498,0,18,36,0,0,15,0.6264150943396226
Ria Percival,0,0,22,873,582,0,31,46,0,0,38,0.6666666666666666
Kirsty Smith,0,0,2,996,728,0,24,38,1,0,12,0.7309236947791165
Rosella Ayane,1,0,24,331,234,0,9,4,0,0,12,0.7069486404833837
Mary Alexandra Earps,0,0,0,1547,1184,0,0,1,0,0,0,0.7653522947640594
Jessica Sigsworth,4,4,21,254,160,0,7,17,1,0,21,0.6299212598425197
Coral-Jade Haines,0,0,0,14,10,0,0,1,0,0,0,0.7142857142857143
Lucy Quinn,1,0,6,252,155,0,11,2,0,0,4,0.6150793650793651
Ella Toone,15,10,117,1409,1070,0,25,20,1,0,41,0.759403832505323
Megan Wynne,0,0,0,5,2,0,0,1,0,0,0,0.4
Jane Ross,3,1,13,234,157,0,6,4,0,0,10,0.6709401709401709
Abbie McManus,0,0,1,1514,1221,0,33,146,0,0,12,0.8064729194187582
Megan Walsh,0,0,0,701,477,0,0,0,0,0,0,0.6804564907275321
Maya Le Tissier,1,0,11,1175,786,0,35,148,0,0,16,0.668936170212766
Felicity Gibbons,0,2,6,645,452,0,19,60,0,0,9,0.7007751937984497
Amanda Nildén,0,0,2,127,90,0,6,5,0,0,6,0.7086614173228346
Léa Le Garrec,1,0,7,132,88,0,3,7,0,0,9,0.6666666666666666
Danique Kerkdijk,0,0,0,689,539,0,25,99,0,0,17,0.7822931785195936
Kirsty Barton,0,0,0,126,95,0,3,16,0,0,0,0.753968253968254
Kayleigh Green,0,1,19,506,317,0,37,25,0,1,19,0.6264822134387352
Emily Simpkins,0,0,8,205,147,0,5,17,1,0,8,0.7170731707317073
Danielle Buet,0,0,12,505,371,0,18,22,0,0,21,0.7346534653465346
Aileen Whelan,5,0,36,684,441,0,40,49,0,0,24,0.6447368421052632
Iniabasi Anefiok Umotong,0,0,0,16,10,0,0,0,0,0,0,0.625
Meaghan Sargeant,0,0,2,91,58,0,8,26,0,0,0,0.6373626373626373
Jasmine Matthews,0,1,3,273,209,0,6,74,0,0,10,0.7655677655677655
Olivia Chance,0,0,4,130,84,0,3,3,1,0,4,0.6461538461538462
Poppy Pattinson,0,1,2,484,357,0,14,37,0,0,9,0.737603305785124
Gemma Evans,1,1,4,645,456,0,50,166,0,0,20,0.7069767441860465
Sophie Baggaley,0,0,0,890,436,0,0,3,0,0,0,0.4898876404494382
Loren Dykes,0,0,0,17,10,0,0,3,0,0,1,0.5882352941176471
Yana Daniëls,1,1,15,541,304,0,48,32,0,0,23,0.5619223659889094
Ebony Salmon,7,1,62,252,146,0,7,3,0,0,24,0.5793650793650794
Georgia Wilson,0,0,0,7,4,0,0,1,0,0,1,0.5714285714285714
Charlie Wellings,2,1,29,392,265,0,19,18,0,0,9,0.6760204081632653
Elise Hughes,0,0,0,8,4,0,0,0,1,0,1,0.5
Elizabeth Arnott,0,0,1,45,28,0,0,2,0,0,0,0.6222222222222222
Katie Robinson,0,0,1,22,14,0,1,2,0,0,0,0.6363636363636364
Chloe Kelly,16,14,77,1023,663,0,25,15,2,0,29,0.6480938416422287
Lucy Hope,6,3,26,519,372,0,15,17,0,0,22,0.7167630057803468
Megan Finnigan,2,1,11,1396,1143,0,31,129,1,0,15,0.8187679083094556
Lotta Ökvist,0,0,0,95,59,0,0,7,0,0,4,0.6210526315789474
Esme Beth Morgan,1,0,5,1133,996,0,28,42,1,0,13,0.8790820829655781
Chantelle Boye-Hlorkah,1,1,7,96,58,0,1,2,0,0,7,0.6041666666666666
Danielle Turner,2,0,15,884,668,0,16,69,0,0,18,0.755656108597285
Inessa Kaagman,8,0,41,749,450,0,10,30,0,0,13,0.6008010680907877
Maéva Clemaron,0,0,7,353,275,0,21,21,0,0,17,0.7790368271954674
Alexandra MacIver,0,0,0,866,667,0,0,1,0,0,1,0.7702078521939953
Abbey-Leigh Stringer,0,0,8,417,336,0,14,14,0,0,27,0.8057553956834532
Kika van Es,0,0,0,155,118,0,3,9,0,0,3,0.7612903225806451
Hannah Cain,1,0,3,38,17,0,1,2,0,0,3,0.4473684210526316
Simone Magill,6,1,15,243,167,0,5,5,0,0,5,0.6872427983539094
Taylor Hinds,0,0,0,1,0,0,0,0,0,0,0,0.0
Gabrielle George,0,0,1,317,247,0,11,23,0,0,6,0.7791798107255521
Molly Pike,0,0,11,308,163,0,14,30,0,0,15,0.5292207792207793
Tinja-Riikka Tellervo Korpela,0,0,0,351,295,0,0,0,0,0,0,0.8404558404558404
Gilly Louise Scarlett Flaherty,0,0,7,807,601,0,28,145,1,0,14,0.7447335811648079
Brooke Hendrix,0,0,0,8,5,0,1,3,0,0,2,0.625
Martha Thomas,4,1,52,335,201,0,6,12,1,0,15,0.6
Kate Longhurst,0,1,5,539,371,0,18,40,0,0,24,0.6883116883116883
Kenza Dali,4,4,44,826,546,0,18,10,1,0,23,0.6610169491525424
Cecilie Redisch Kvamme,0,2,4,683,441,0,24,32,0,0,16,0.6456808199121523
Laura Vetterlein,1,1,8,631,387,0,27,83,0,0,29,0.6133122028526149
Katharina Baunach,2,0,3,44,34,0,1,3,0,0,0,0.7727272727272727
Leanne Kiernan,0,0,3,63,39,0,3,1,0,0,5,0.6190476190476191
Courtney Brosnan,0,0,0,331,197,0,0,2,0,0,0,0.595166163141994
Alisha Lehmann,1,0,19,223,137,0,2,3,0,0,12,0.6143497757847534
Adriana Kristina Leon,2,1,35,359,239,0,3,3,1,0,28,0.6657381615598886
So-Hyun Cho,1,0,15,673,496,0,19,39,0,0,22,0.736998514115899
Megan Connolly,2,2,14,666,453,0,39,36,0,0,18,0.6801801801801802
Victoria Williams,0,0,5,552,399,0,13,106,0,0,18,0.7228260869565217
Molly Bartrip,0,1,2,1038,818,0,25,156,0,0,20,0.7880539499036608
Kristine Leine,0,0,3,721,519,0,31,80,0,0,12,0.7198335644937587
Remi Allen,0,0,3,100,70,0,1,7,0,0,6,0.7
Rachael Laws,0,0,0,56,49,0,0,0,0,0,0,0.875
Fara Williams,4,1,39,676,469,0,3,11,1,0,17,0.6937869822485208
Josanne Potter,0,0,0,48,33,0,0,8,0,0,1,0.6875
Natasha Harding,3,2,30,686,445,0,27,70,0,0,20,0.6486880466472303
Jade Moore,0,0,6,201,151,0,3,12,0,0,9,0.7512437810945274
Rachel Rowe,5,0,30,660,437,0,21,26,0,0,19,0.6621212121212121
Angharad James,1,1,34,1138,851,0,60,53,0,0,18,0.7478031634446397
Amalie Vevle Eikeland,2,0,38,508,348,0,25,12,0,0,34,0.6850393700787402
Lisa-Marie Utland,1,0,7,82,50,0,2,2,0,0,11,0.6097560975609756
Rebecca May,0,0,0,1,0,0,0,0,0,0,0,0.0
Brooke Chaplen,1,1,14,154,106,0,3,8,0,0,8,0.6883116883116883
So-Yun Ji,3,1,44,1446,1219,0,26,10,1,0,23,0.843015214384509
Millie Bright,2,2,20,2858,2443,0,63,254,0,0,32,0.8547935619314205
Sophie Louise Ingle,0,1,14,803,655,0,16,30,0,0,24,0.8156911581569116
Maren Nævdal Mjelde,4,3,17,2060,1770,0,22,142,0,0,24,0.8592233009708737
Erin Cuthbert,3,8,46,715,522,0,27,15,1,0,31,0.73006993006993
Ann-Katrin Berger,1,1,1,960,739,0,0,1,0,0,0,0.7697916666666667
Magdalena Lilly Eriksson,2,1,48,2684,2186,0,33,219,0,0,38,0.8144560357675111
Ramona Bachmann,2,1,20,326,243,0,6,1,0,0,15,0.745398773006135
Jonna Ann-Charlotte Andersson,1,3,11,1786,1320,0,39,104,0,0,16,0.7390817469204927
Bethany England,7,8,46,388,281,0,4,8,0,0,5,0.7242268041237113
Guro Reiten,6,7,50,969,623,0,22,27,0,0,23,0.6429308565531475
Francesca Kirby,19,15,61,1047,822,0,22,10,0,0,10,0.7851002865329513
Drew Spence,0,0,14,330,252,0,12,15,0,0,10,0.7636363636363637
Jessica Carter,0,2,1,944,785,0,20,62,0,0,5,0.8315677966101694
Vivianne Miedema,22,5,147,909,688,0,7,20,0,0,28,0.7568756875687569
Jill Roord,13,4,79,1204,1037,0,20,11,1,0,26,0.8612956810631229
Katie McCabe,5,11,30,1746,1303,0,35,43,2,0,16,0.7462772050400917
Jordan Nobbs,5,3,31,714,607,0,6,1,0,0,9,0.8501400560224089
Kim Little,6,2,22,883,761,0,17,20,0,0,3,0.8618346545866364
Leah Williamson,1,2,26,2797,2362,0,54,116,0,0,19,0.8444762245262781
Manuela Zinsberger,0,0,0,868,733,0,0,1,1,0,0,0.8444700460829493
Jennifer Patricia Beattie,3,0,11,867,777,0,10,34,0,0,3,0.8961937716262975
Bethany Mead,11,16,63,1197,862,0,28,16,0,0,36,0.7201336675020885
Leonie Maier,0,0,4,457,352,0,8,18,0,0,8,0.7702407002188184
Lisa Evans,2,2,6,417,324,0,9,9,0,0,2,0.7769784172661871
Danielle van de Donk,5,4,37,1330,1048,0,23,31,0,0,37,0.7879699248120301
Louise Quinn,0,0,2,70,59,0,1,15,0,0,1,0.8428571428571429
Grace Moloney,0,0,0,948,725,0,0,0,1,0,1,0.7647679324894515
Sophie Howard,0,0,1,74,48,0,2,19,0,0,1,0.6486486486486487
Millie Laura Farrow,0,0,0,3,3,0,0,0,0,0,0,1.0
Rakel Hönnudóttir,0,0,0,10,9,0,1,0,0,0,0,0.9
Jordan Brian Henderson,4,2,36,1619,1273,0,28,37,1,0,23,0.7862878319950587
Joël Andre Job Matip,3,4,31,1759,1465,0,48,195,0,0,57,0.8328595793064241
Kieran Trippier,3,3,10,1753,1361,0,24,53,1,0,20,0.7763833428408443
Fábio Henrique Tavares,6,4,29,1811,1446,0,43,94,1,0,81,0.7984538928768636
Moussa Sissoko,1,7,42,1663,1214,0,31,48,0,0,61,0.7300060132291041
Toby Alderweireld,4,4,48,3217,2674,0,54,315,2,0,14,0.831209201119055
Virgil van Dijk,3,0,39,2171,1866,0,79,359,1,0,49,0.8595117457392907
Georginio Wijnaldum,15,5,75,1808,1541,0,33,35,2,0,30,0.8523230088495575
Sadio Mané,14,9,96,1301,1005,0,30,16,1,0,67,0.7724827056110684
Mohamed Salah,18,6,89,1305,1039,0,16,4,0,0,28,0.7961685823754789
Harry Kane,43,4,224,1563,1092,0,17,45,1,0,63,0.6986564299424184
Bamidele Alli,11,8,82,1288,958,0,35,39,2,0,59,0.7437888198757764
Christian Dannemann Eriksen,8,13,132,2752,2104,0,39,29,0,0,22,0.7645348837209303
Andrew Robertson,0,0,2,339,245,0,10,14,0,0,8,0.7227138643067846
Jan Vertonghen,1,0,15,2736,2413,0,40,230,3,0,30,0.8819444444444444
Harry Winks,0,0,0,49,39,0,0,1,0,0,0,0.7959183673469388
Danny Rose,1,3,29,1588,1209,0,35,83,1,0,44,0.7613350125944585
Trent Alexander-Arnold,1,0,7,238,177,0,5,5,0,0,3,0.7436974789915967
Heung-Min Son,6,2,66,700,539,0,11,17,0,0,20,0.77
Hugo Lloris,0,0,0,1705,1148,0,0,4,0,0,1,0.6733137829912024
Alisson Ramsés Becker,0,0,0,330,280,0,0,0,0,0,0,0.8484848484848485
Roberto Firmino Barbosa de Oliveira,11,7,71,1097,818,0,15,11,1,0,35,0.7456700091157703
James Philip Milner,5,11,40,1680,1221,0,26,35,0,0,57,0.7267857142857143
Divock Okoth Origi,6,1,25,182,124,0,0,3,0,0,12,0.6813186813186813
Lucas Rodrigues Moura da Silva,9,3,64,1292,1046,0,23,2,0,0,30,0.8095975232198143
Eric Dier,4,2,36,2476,2085,0,44,105,0,0,70,0.8420840064620355
Fernando Llorente Torres,6,4,47,584,377,0,11,18,1,0,56,0.6455479452054794
Joe Gomez,0,1,1,274,218,0,8,21,1,0,10,0.7956204379562044
Bo-Ram Hwang,0,0,0,101,86,0,1,14,0,0,1,0.8514851485148515
Delphine Cascarino,3,2,23,337,252,0,7,0,0,0,7,0.7477744807121661
Griedge Mbock Bathy Nka,1,0,3,502,458,0,13,30,0,0,3,0.9123505976095617
Wendie Renard,6,0,29,924,803,0,27,78,0,0,5,0.8690476190476191
Eugénie Le Sommer,6,1,31,332,250,0,3,3,0,0,8,0.7530120481927711
Elise Bussaglia,0,0,5,216,172,0,0,6,0,0,3,0.7962962962962963
Sarah Bouhaddi,0,0,0,126,88,0,0,1,0,0,0,0.6984126984126984
Marion Torrent,0,0,4,335,239,0,12,10,0,0,4,0.7134328358208956
Amandine Henry,2,1,16,253,204,0,9,9,0,0,8,0.8063241106719368
Young-Ju Lee,0,1,0,38,23,0,2,3,0,0,0,0.6052631578947368
Min-Jeong Kim,0,0,0,89,51,0,0,0,0,0,0,0.5730337078651685
Do-Yeon Kim,0,0,0,137,131,0,1,15,0,0,0,0.9562043795620438
Hye-Ri Kim,0,0,1,190,137,0,4,20,0,0,7,0.7210526315789474
Amel Majri,1,3,12,475,352,0,2,12,0,0,8,0.7410526315789474
Kadidiatou Diani,7,4,51,428,302,0,12,8,1,0,19,0.705607476635514
Seol-Bin Jung,0,0,0,31,21,0,0,5,0,0,3,0.6774193548387096
Geum-Min Lee,3,1,26,482,365,0,15,7,0,0,17,0.7572614107883817
Sel-Gi Jang,0,0,4,344,256,0,6,28,0,0,4,0.7441860465116279
Gaëtane Thiney,0,2,7,143,95,0,1,0,0,0,6,0.6643356643356644
