player_name,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Kirsty Hanson,28,2252,11,12,80.42857142857143,0.42857142857142855
Jessica Sigsworth,25,2124,15,9,84.96,0.36
Rianna Dean,17,1338,6,8,78.70588235294117,0.47058823529411764
Lucy Quinn,21,1737,16,6,82.71428571428571,0.2857142857142857
Chloe Peplow,5,406,2,2,81.2,0.4
Coral-Jade Haines,1,94,1,0,94.0,0.0
Hayley Ladd,31,2694,7,6,86.90322580645162,0.1935483870967742
Ella Toone,50,4387,16,16,87.74,0.32
Anna Filbey,6,507,2,2,84.5,0.3333333333333333
Megan Wynne,1,94,1,0,94.0,0.0
Jackie Groenen,50,4490,4,11,89.8,0.22
Jane Ross,23,1930,14,7,83.91304347826087,0.30434782608695654
Josie Green,18,1543,4,6,85.72222222222223,0.3333333333333333
Hannah Godfrey,6,567,0,0,94.5,0.0
Lauren James,31,2429,9,16,78.35483870967742,0.5161290322580645
Millie Turner,33,3047,0,0,92.33333333333333,0.0
Leah Galton,26,2272,2,6,87.38461538461539,0.23076923076923078
Rebecca Leigh Spencer,21,1952,0,0,92.95238095238095,0.0
Ashleigh Neville,13,1134,0,4,87.23076923076923,0.3076923076923077
Martha Harris,17,1521,4,2,89.47058823529412,0.11764705882352941
Kit Graham,18,1513,4,6,84.05555555555556,0.3333333333333333
Katie Zelem,31,2657,4,11,85.70967741935483,0.3548387096774194
Rosella Ayane,24,2011,12,9,83.79166666666667,0.375
Rachel Furness,4,322,0,3,80.5,0.75
Amy Turner,31,2847,2,1,91.83870967741936,0.03225806451612903
Ria Percival,23,2116,0,2,92.0,0.08695652173913043
Kirsty Smith,22,2025,4,2,92.04545454545455,0.09090909090909091
Mary Alexandra Earps,46,4334,0,0,94.21739130434783,0.0
Amanda Nildén,5,399,1,2,79.8,0.4
Iniabasi Anefiok Umotong,2,185,2,0,92.5,0.0
Danielle Buet,15,1315,1,2,87.66666666666667,0.13333333333333333
Abbie McManus,27,2428,1,2,89.92592592592592,0.07407407407407407
Kirsty Barton,5,436,2,1,87.2,0.2
Aileen Whelan,24,2219,0,1,92.45833333333333,0.041666666666666664
Léa Le Garrec,4,365,1,1,91.25,0.25
Megan Walsh,17,1575,0,0,92.6470588235294,0.0
Maya Le Tissier,24,2228,0,1,92.83333333333333,0.041666666666666664
Felicity Gibbons,15,1377,1,1,91.8,0.06666666666666667
Kayleigh Green,18,1559,3,5,86.61111111111111,0.2777777777777778
Danique Kerkdijk,21,1912,3,2,91.04761904761905,0.09523809523809523
Emily Simpkins,15,1183,7,6,78.86666666666666,0.4
Georgia Wilson,3,224,2,1,74.66666666666667,0.3333333333333333
Elise Hughes,2,186,2,0,93.0,0.0
Elizabeth Arnott,6,521,5,1,86.83333333333333,0.16666666666666666
Ebony Salmon,21,1926,5,4,91.71428571428571,0.19047619047619047
Katie Robinson,2,157,1,1,78.5,0.5
Olivia Chance,6,505,1,2,84.16666666666667,0.3333333333333333
Meaghan Sargeant,4,341,0,2,85.25,0.5
Jasmine Matthews,11,966,1,2,87.81818181818181,0.18181818181818182
Poppy Pattinson,12,1080,4,2,90.0,0.16666666666666666
Gemma Evans,24,2203,0,0,91.79166666666667,0.0
Sophie Baggaley,22,2050,0,0,93.18181818181819,0.0
Charlie Wellings,21,1794,3,7,85.42857142857143,0.3333333333333333
Loren Dykes,1,92,0,0,92.0,0.0
Yana Daniëls,23,2027,3,4,88.1304347826087,0.17391304347826086
Inessa Kaagman,24,2068,0,8,86.16666666666667,0.3333333333333333
Hannah Cain,5,431,4,1,86.2,0.2
Esme Beth Morgan,17,1579,3,2,92.88235294117646,0.11764705882352941
Simone Magill,19,1595,10,8,83.94736842105263,0.42105263157894735
Abbey-Leigh Stringer,16,1342,7,6,83.875,0.375
Taylor Hinds,1,92,1,0,92.0,0.0
Chloe Kelly,42,3934,18,9,93.66666666666667,0.21428571428571427
Lucy Hope,21,1848,6,4,88.0,0.19047619047619047
Megan Finnigan,24,2174,0,1,90.58333333333333,0.041666666666666664
Lotta Ökvist,4,371,2,0,92.75,0.0
Chantelle Boye-Hlorkah,12,1118,11,0,93.16666666666667,0.0
Danielle Turner,16,1343,0,4,83.9375,0.25
Maéva Clemaron,11,939,3,4,85.36363636363636,0.36363636363636365
Alexandra MacIver,19,1684,0,1,88.63157894736842,0.05263157894736842
Kika van Es,4,337,1,2,84.25,0.5
Molly Pike,16,1449,4,1,90.5625,0.0625
