player.name,total_injuries,total_days_injured,matches_missed,injury_severity_score,currently_injured
Adam Hložek,0,0,0,0.0,0
Adrian Beck,8,256,27,32.0,0
Alassane Pléa,15,406,58,27.066666666666666,0
Alejandro Grimaldo García,0,0,0,0.0,0
Aleksandar Pavlović,0,0,0,0.0,0
Alex Král,5,92,13,18.4,0
Alexander Nübel,7,103,17,14.714285714285714,0
Alphonso Davies,15,542,88,36.13333333333333,0
Amin Sarr,4,94,10,23.5,0
Amine Adli,4,288,44,72.0,0
Andreas Müller,1,184,15,184.0,0
Andrej Kramarić,0,0,0,0.0,0
András Schäfer,13,460,69,35.38461538461539,0
Angelo Stiller,13,188,20,14.461538461538462,0
Ansgar Knauff,9,161,18,17.88888888888889,0
Anthony Caci,4,233,39,58.25,0
Anthony Jung,5,119,9,23.8,0
Anthony Losilla,5,61,7,12.2,0
Anthony Rouault,6,183,24,30.5,0
Anton Stach,12,258,36,21.5,0
Antonios Papadopoulos,3,39,7,13.0,0
Anwar El Ghazi,14,142,23,10.142857142857142,0
Arne Engels,0,0,0,0.0,0
Arne Maier,15,207,23,13.8,0
Arthur Augusto de Matos Soares,0,0,0,0.0,0
Aster Vranckx,8,223,26,27.875,0
Atakan Karazor,11,96,10,8.727272727272727,0
Aurélio Gabriel Ulineia Buta,0,0,0,0.0,0
Aymen Barkok,12,352,39,29.333333333333332,0
Aïssa Bilal Laïdouni,0,0,0,0.0,0
Bambasé Conté,8,278,32,34.75,0
Bartol Franjić,0,0,0,0.0,0
Benedict Hollerbach,8,137,18,17.125,0
Benedikt Gimber,7,322,30,46.0,0
Benjamin Henrichs,15,628,86,41.86666666666667,0
Benjamin Šeško,0,0,0,0.0,0
Benno Schmitz,10,177,18,17.7,0
Bernardo Fernandes da Silva Junior,0,0,0,0.0,0
Borja Iglesias Quintas,0,0,0,0.0,0
Brajan Gruda,12,171,23,14.25,0
Brenden Aaronson,2,40,8,20.0,0
Chris Führich,9,179,16,19.88888888888889,0
Christian Groß,15,315,35,21.0,0
Christian Günter,5,225,30,45.0,0
Christoph Baumgartner,9,162,27,18.0,0
Christoph Klarer,1,7,1,7.0,0
Christoph Kramer,15,240,28,16.0,0
Christoph Zimmermann,12,810,74,67.5,0
Christopher Antwi-Adjej,0,0,0,0.0,0
Christopher Trimmel,15,167,26,11.133333333333333,0
Cristian Gamboa Luna,0,0,0,0.0,0
Cédric Zesiger,8,155,31,19.375,0
Dan-Axel Zagadou,15,1004,140,66.93333333333334,0
Daniel Olmo Carvajal,0,0,0,0.0,0
Danilho Doekhi,6,132,21,22.0,0
Danilo Teodoro Soares,0,0,0,0.0,0
Danny Vieira da Costa,0,0,0,0.0,0
David Datro Fofana,1,174,31,174.0,0
David Jurásek,6,139,21,23.166666666666668,0
David Raum,7,113,23,16.142857142857142,0
Davie Selke,15,275,29,18.333333333333332,0
Dawid Kownacki,15,448,51,29.866666666666667,0
Dayotchanculle Upamecano,0,0,0,0.0,0
Dejan Ljubicic,15,366,45,24.4,0
Denis Huseinbašić,0,0,0,0.0,0
Denis Thomalla,11,538,62,48.90909090909091,0
Deniz Undav,8,237,37,29.625,0
Dennis Geiger,15,529,58,35.266666666666666,0
Diogo Filipe Monteiro Pinto Leite,0,0,0,0.0,0
Dion Drena Beljo,0,0,0,0.0,0
Dominik Kohr,8,218,20,27.25,0
Edimilson Fernandes,15,528,71,35.2,0
Edmond Fayçal Tapsoba,0,0,0,0.0,0
Elias Niklas Baum,0,0,0,0.0,0
Eljif Elmas,10,123,23,12.3,0
Ellyes Joris Skhiri,0,0,0,0.0,0
Elvis Rexhbeçaj,0,0,0,0.0,0
Emil Peter Forsberg,0,0,0,0.0,0
Emir Karic,7,148,19,21.142857142857142,0
Emre Can,15,345,59,23.0,0
Enzo Millot,8,157,21,19.625,0
Eren Sami Dinkçi,0,0,0,0.0,0
Erhan Mašović,0,0,0,0.0,0
Eric Dier,15,266,42,17.733333333333334,0
Eric Junior Dina Ebimbe,0,0,0,0.0,0
Eric Martel,4,51,6,12.75,0
Ermedin Demirović,0,0,0,0.0,0
Exequiel Alejandro Palacios,0,0,0,0.0,0
