player.name,team.name,passes,goals,shots,duels,interceptions,dribbles,ball_recoveries,assists,matches_played,minutes_played,goals_per90,assists_per90,shots_per90,passes_per90,interceptions_per90,dribbles_per90,ball_recoveries_per90,duels_per90
Adam Hložek,Bayer Leverkusen,155,2.0,19.0,17.0,3.0,11.0,20.0,2.0,22,1937,0.09292720702116676,0.09292720702116676,0.8828084667010841,7.201858544140424,0.13939081053175012,0.5110996386164172,0.9292720702116675,0.7898812596799174
Adrian Beck,FC Heidenheim,36,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2,140,0.0,0.0,0.0,23.14285714285714,0.0,0.0,1.9285714285714286,1.9285714285714286
Alassane Pléa,Borussia Mönchengladbach,46,0.0,1.0,4.0,0.0,2.0,5.0,0.0,1,93,0.0,0.0,0.967741935483871,44.516129032258064,0.0,1.935483870967742,4.838709677419355,3.870967741935484
Alejandro Grimaldo García,Bayer Leverkusen,2159,10.0,71.0,65.0,29.0,40.0,158.0,13.0,33,3026,0.29742233972240584,0.3866490416391276,2.1116986120290813,64.21348314606742,0.8625247851949768,1.1896893588896233,4.699272967614012,1.933245208195638
Aleksandar Pavlović,Bayern Munich,51,0.0,0.0,1.0,2.0,0.0,4.0,0.0,1,59,0.0,0.0,0.0,77.79661016949153,3.0508474576271185,0.0,6.101694915254237,1.5254237288135593
Alex Král,Union Berlin,48,0.0,2.0,3.0,1.0,1.0,9.0,0.0,2,185,0.0,0.0,0.972972972972973,23.351351351351354,0.4864864864864865,0.4864864864864865,4.378378378378379,1.4594594594594597
Alexander Nübel,VfB Stuttgart,106,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2,190,0.0,0.0,0.0,50.21052631578947,0.0,0.0,5.2105263157894735,0.0
Alphonso Davies,Bayern Munich,62,0.0,0.0,3.0,4.0,3.0,2.0,0.0,1,96,0.0,0.0,0.0,58.125,3.75,2.8125,1.875,2.8125
Amin Sarr,Wolfsburg,15,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2,182,0.0,0.0,0.0,7.417582417582418,0.0,0.4945054945054945,0.989010989010989,1.4835164835164836
Amine Adli,Bayer Leverkusen,465,4.0,27.0,36.0,6.0,25.0,38.0,5.0,23,1969,0.1828339258506856,0.22854240731335704,1.234128999492128,21.254443880142205,0.27425088877602843,1.142712036566785,1.7369222955815136,1.6455053326561706
Andreas Müller,Darmstadt 98,7,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1,93,0.0,0.0,0.0,6.774193548387097,1.935483870967742,0.967741935483871,0.0,1.935483870967742
Andrej Kramarić,Hoffenheim,33,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2,147,0.0,0.0,1.2244897959183674,20.20408163265306,0.0,0.0,2.4489795918367347,1.2244897959183674
András Schäfer,Union Berlin,24,0.0,1.0,8.0,1.0,1.0,5.0,0.0,1,62,0.0,0.0,1.4516129032258065,34.83870967741935,1.4516129032258065,1.4516129032258065,7.258064516129032,11.612903225806452
Angelo Stiller,VfB Stuttgart,79,0.0,1.0,3.0,2.0,0.0,6.0,0.0,1,94,0.0,0.0,0.9574468085106382,75.63829787234043,1.9148936170212765,0.0,5.744680851063829,2.8723404255319145
Ansgar Knauff,Eintracht Frankfurt,30,0.0,1.0,4.0,0.0,3.0,7.0,0.0,2,185,0.0,0.0,0.4864864864864865,14.594594594594595,0.0,1.4594594594594597,3.4054054054054057,1.945945945945946
Anthony Caci,FSV Mainz 05,85,0.0,1.0,4.0,3.0,1.0,10.0,0.0,2,186,0.0,0.0,0.4838709677419355,41.12903225806451,1.4516129032258065,0.4838709677419355,4.838709677419355,1.935483870967742
Anthony Jung,Werder Bremen,62,0.0,0.0,3.0,3.0,1.0,3.0,0.0,1,82,0.0,0.0,0.0,68.04878048780488,3.292682926829268,1.0975609756097562,3.292682926829268,3.292682926829268
Anthony Losilla,Bochum,42,0.0,1.0,4.0,3.0,1.0,5.0,0.0,2,146,0.0,0.0,0.6164383561643836,25.89041095890411,1.8493150684931505,0.6164383561643836,3.0821917808219177,2.4657534246575343
Anthony Rouault,VfB Stuttgart,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,189,0.0,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.9523809523809523
Anton Stach,Hoffenheim,96,1.0,2.0,5.0,9.0,1.0,8.0,0.0,2,188,0.4787234042553191,0.0,0.9574468085106382,45.95744680851063,4.308510638297872,0.4787234042553191,3.829787234042553,2.393617021276596
Antonios Papadopoulos,Borussia Dortmund,10,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1,93,0.0,0.0,0.0,9.67741935483871,0.0,0.0,2.903225806451613,2.903225806451613
Anwar El Ghazi,FSV Mainz 05,10,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,92,0.0,0.0,0.9782608695652174,9.782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174
Arne Engels,Augsburg,23,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2,186,0.0,0.0,0.4838709677419355,11.129032258064516,0.0,0.0,1.4516129032258065,0.967741935483871
