player.name,avg_sentiment,sentiment_std,hype_score,positive_ratio,neutral_ratio,negative_ratio,headline_count,sentiment_label
Adam Hložek,0.09165000000000001,0.3263002060986171,0.9165000000000001,0.3,0.6,0.1,10,Positive
Adrian Beck,0.17312,0.35167036781622646,1.7311999999999999,0.4,0.5,0.1,10,Positive
Alassane Pléa,-0.08946999999999998,0.3976868945539946,-0.8946999999999998,0.2,0.5,0.3,10,Negative
Alejandro Grimaldo García,0.006849999999999972,0.34161706119571955,0.06849999999999973,0.3,0.4,0.3,10,Neutral
Aleksandar Pavlović,0.005690000000000012,0.33088618420840726,0.05690000000000012,0.3,0.3,0.4,10,Neutral
Alex Král,-0.0062799999999999965,0.15299380902507134,-0.06279999999999997,0.1,0.7,0.2,10,Neutral
Alexander Nübel,-0.05256000000000001,0.2497560738000179,-0.5256000000000001,0.1,0.7,0.2,10,Negative
Alphonso Davies,-0.02136999999999999,0.42102452196992035,-0.2136999999999999,0.4,0.1,0.5,10,Neutral
Amin Sarr,0.13661,0.28389605298418646,1.3661,0.2,0.8,0.0,10,Positive
Amine Adli,0.26393000000000005,0.27120609893584624,2.6393000000000004,0.5,0.5,0.0,10,Positive
Andreas Müller,0.1078,0.38382337604684785,1.078,0.4,0.4,0.2,10,Positive
Andrej Kramarić,0.17861,0.40670020027042036,1.7860999999999998,0.5,0.2,0.3,10,Positive
András Schäfer,-0.0005499999999999949,0.39512279167367703,-0.005499999999999949,0.2,0.5,0.3,10,Neutral
Angelo Stiller,-0.07064,0.38180858607422646,-0.7063999999999999,0.3,0.2,0.5,10,Negative
Ansgar Knauff,0.08635999999999999,0.24915938754138883,0.8635999999999999,0.2,0.7,0.1,10,Positive
Anthony Caci,0.07382999999999999,0.19444944870068415,0.7383,0.4,0.5,0.1,10,Positive
Anthony Jung,-0.018130000000000007,0.25378075990902066,-0.18130000000000007,0.2,0.5,0.3,10,Neutral
Anthony Losilla,0.07064,0.39613504818432815,0.7063999999999999,0.3,0.5,0.2,10,Positive
Anthony Rouault,-0.041690000000000005,0.19284011226920608,-0.41690000000000005,0.1,0.7,0.2,10,Neutral
Anton Stach,-0.07577,0.3211873162190562,-0.7577,0.2,0.4,0.4,10,Negative
Antonios Papadopoulos,0.12208999999999999,0.25058387198700555,1.2208999999999999,0.4,0.5,0.1,10,Positive
Anwar El Ghazi,-0.33779000000000003,0.4148975016796317,-3.3779000000000003,0.2,0.1,0.7,10,Negative
Arne Engels,-0.09259999999999999,0.531257910999921,-0.9259999999999999,0.2,0.3,0.5,10,Negative
Arne Maier,0.06369,0.19107,0.6369,0.1,0.9,0.0,10,Positive
Arthur Augusto de Matos Soares,0.30755,0.2692488115108403,1.2302,0.75,0.25,0.0,4,Positive
Aster Vranckx,0.07606,0.1628990865536084,0.7606,0.2,0.8,0.0,10,Positive
Atakan Karazor,0.1304,0.22322635597079482,1.3039999999999998,0.3,0.7,0.0,10,Positive
Aurélio Gabriel Ulineia Buta,0.0,0.0,0.0,0.0,1.0,0.0,3,Neutral
Aymen Barkok,-0.14582,0.34424547288236046,-1.4582000000000002,0.1,0.5,0.4,10,Negative
Aïssa Bilal Laïdouni,0.42406666666666665,0.30440766890617077,1.2722,0.6666666666666666,0.3333333333333333,0.0,3,Positive
Bambasé Conté,0.16516999999999998,0.25327343741498043,1.6517,0.3,0.7,0.0,10,Positive
Bartol Franjić,-0.11598,0.2452391518497811,-1.1598,0.0,0.8,0.2,10,Negative
Benedict Hollerbach,-0.15253,0.22489210324064293,-1.5253,0.0,0.6,0.4,10,Negative
Benedikt Gimber,0.03374999999999999,0.31122264458101373,0.3374999999999999,0.1,0.8,0.1,10,Neutral
Benjamin Henrichs,0.0668,0.43799787214095004,0.6679999999999999,0.4,0.2,0.4,10,Positive
Benjamin Šeško,0.15467,0.27468463753912414,1.5467,0.4,0.5,0.1,10,Positive
Benno Schmitz,-0.13611,0.3687815246185741,-1.3611,0.3,0.2,0.5,10,Negative
Bernardo Fernandes da Silva Junior,0.17848000000000003,0.27677952164132374,1.7848000000000002,0.5,0.4,0.1,10,Positive
Borja Iglesias Quintas,-0.02023,0.060689999999999994,-0.2023,0.0,0.9,0.1,10,Neutral
Brajan Gruda,0.24121,0.27410149379381354,2.4121,0.5,0.5,0.0,10,Positive
Brenden Aaronson,0.21222000000000002,0.3416735717025828,2.1222000000000003,0.5,0.4,0.1,10,Positive
Chris Führich,-0.01406,0.17600336474056397,-0.1406,0.1,0.8,0.1,10,Neutral
Christian Groß,-0.25996,0.2564544138828575,-2.5996,0.0,0.4,0.6,10,Negative
Christian Günter,0.11404,0.29376101919757835,1.1404,0.3,0.6,0.1,10,Positive
Christoph Baumgartner,0.24059,0.3539899870052824,2.4059,0.5,0.4,0.1,10,Positive
Christoph Klarer,0.027549999999999998,0.33521163837193957,0.27549999999999997,0.3,0.4,0.3,10,Neutral
Christoph Kramer,0.04725,0.3179665116014578,0.47250000000000003,0.4,0.3,0.3,10,Neutral
Christoph Zimmermann,0.19824000000000003,0.2489529642322019,1.9824000000000002,0.6,0.4,0.0,10,Positive
Christopher Antwi-Adjej,-0.33766999999999997,0.463230590634945,-3.3766999999999996,0.2,0.1,0.7,10,Negative
Christopher Trimmel,0.16619,0.20995678817318575,1.6619000000000002,0.5,0.5,0.0,10,Positive
Cristian Gamboa Luna,0.0,0.0,0.0,0.0,1.0,0.0,1,Neutral
Cédric Zesiger,0.09035,0.2543157378142375,0.9035,0.2,0.8,0.0,10,Positive
Dan-Axel Zagadou,0.11413999999999999,0.4329747988047341,1.1414,0.5,0.3,0.2,10,Positive
Daniel Olmo Carvajal,-0.25056,0.26360806588570085,-2.5056000000000003,0.0,0.5,0.5,10,Negative
Danilho Doekhi,0.16859000000000002,0.28580533392503366,1.6859000000000002,0.5,0.4,0.1,10,Positive
Danny Vieira da Costa,0.37834999999999996,0.3786581604825122,1.5133999999999999,0.5,0.5,0.0,4,Positive
David Datro Fofana,0.04053,0.25138814629970124,0.4053,0.2,0.7,0.1,10,Neutral
David Jurásek,-0.08560000000000001,0.3150692558787671,-0.8560000000000001,0.3,0.5,0.2,10,Negative
David Raum,0.14973,0.46861471818541933,1.4973,0.4,0.3,0.3,10,Positive
Davie Selke,0.2556,0.3286300564464547,2.556,0.4,0.6,0.0,10,Positive
Dayotchanculle Upamecano,-0.004379999999999995,0.36963515200803077,-0.04379999999999995,0.3,0.5,0.2,10,Neutral
Dejan Ljubicic,-0.07579,0.22737,-0.7579,0.0,0.9,0.1,10,Negative
Denis Huseinbašić,-0.0014800000000000008,0.09793979579312997,-0.014800000000000008,0.1,0.8,0.1,10,Neutral
Denis Thomalla,-0.07791111111111111,0.14584396871271896,-0.7012,0.0,0.7777777777777778,0.2222222222222222,9,Negative
