player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label
Lionel Andrés Messi Cuccittini,2019/20,1,Barcelona,Forward,4,25,67500000.0,18.0276,4,estimated,625,1.0,Prime,0,1,0,0,35,3023,86.3714,3,30,10,195,2417,1989,82.3,2,33,9,0.2727,229,7,22,0.8932,0.2977,5.8055,1.1909,0.1538,0.3333,1.1909,6.8177,8.223,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,88.0797,0.1733,0.1283,0.0921,0.12,0.7767,2,1,0,Positive
Antoine Griezmann,2019/20,1,Barcelona,Forward,4,25,37500000.0,17.4399,3,estimated,625,1.0,Prime,0,1,0,0,33,2360,71.5152,2,12,8,64,1214,1073,88.4,3,54,8,0.1481,31,11,15,0.4576,0.3051,2.4407,0.7627,0.1875,0.6667,2.4788,1.1822,3.5581,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,81.7368,0.0603,0.1353,-0.151,0.3083,0.3833,0,2,1,Negative
Ousmane Dembélé,2019/20,1,Barcelona,Midfielder,3,25,19500000.0,16.7859,2,estimated,625,1.0,Prime,0,0,0,1,27,1565,57.963,2,5,3,47,907,756,83.4,2,27,2,0.0741,107,14,13,0.2875,0.1725,2.7029,0.4601,0.1064,0.6,2.3578,6.1534,4.4051,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.1995,0.172,0.0853,0.2107,0.2944,0.5167,1,0,2,Positive
Anssumane Fati,2019/20,1,Barcelona,Midfielder,3,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,0,0,0,1,7,431,61.5714,1,4,0,14,205,174,84.9,2,12,1,0.0833,25,1,5,0.8353,0.0,2.9234,0.8353,0.2857,0.0,2.7146,5.2204,5.5336,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,81.6069,0.108,0.1527,-0.1527,-0.2333,0.0667,1,2,0,Negative
Pedro González López,2019/20,1,Barcelona,Defender,2,25,16500000.0,16.6189,2,estimated,625,1.0,Prime,1,0,0,0,35,2240,64.0,2,3,3,22,1644,1437,87.4,3,55,14,0.2545,41,35,23,0.1205,0.1205,0.8839,0.2411,0.1364,1.0,3.6161,1.6473,1.5388,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.766,0.0613,0.1893,-0.1332,0.2333,0.6593,1,2,0,Negative
Jordi Alba Ramos,2019/20,1,Barcelona,Defender,2,25,16500000.0,16.6189,2,estimated,625,1.0,Prime,1,0,0,0,33,2890,87.5758,3,3,3,24,2815,2409,85.6,3,60,6,0.1,35,39,22,0.0934,0.0934,0.7474,0.1869,0.125,1.0,3.083,1.09,1.1678,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.6695,0.1907,0.156,-0.0291,0.2528,0.3833,1,1,1,Neutral
Francisco António Machado Mota de Castro Trincão,2019/20,1,Barcelona,Midfielder,3,25,15000000.0,16.5236,2,estimated,625,1.0,Prime,0,0,0,1,25,619,24.76,1,3,2,20,347,288,83.0,2,16,1,0.0625,31,4,10,0.4362,0.2908,2.9079,0.727,0.15,0.6667,2.9079,4.5073,4.6963,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.9915,0.1363,0.0647,0.093,0.1833,0.35,1,1,1,Positive
Martin Braithwaite Christensen,2019/20,1,Barcelona,Midfielder,3,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,0,0,0,1,26,951,36.5769,1,2,2,22,237,190,80.2,2,20,3,0.15,16,7,11,0.1893,0.1893,2.082,0.3785,0.0909,1.0,2.5552,1.5142,2.4416,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.5589,0.084,0.0707,0.0001,0.3083,0.5583,1,1,1,Neutral
Óscar Mingueza García,2019/20,1,Barcelona,Defender,2,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,1,0,0,0,24,1677,69.875,2,2,2,9,1482,1370,92.4,3,72,12,0.1667,9,23,23,0.1073,0.1073,0.483,0.2147,0.2222,1.0,5.0984,0.483,0.9231,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.941,0.0417,0.2057,-0.2911,0.2722,0.4278,0,2,1,Negative
Ronald Federico Araújo da Silva,2019/20,1,Barcelona,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,21,1239,59.0,2,2,0,10,775,718,92.6,3,34,13,0.3824,4,9,9,0.1453,0.0,0.7264,0.1453,0.2,0.0,3.1235,0.2906,0.8862,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.4431,0.1447,0.0833,0.1084,-0.0972,0.3294,1,1,1,Positive
Luis Jesús Rioja González,2019/20,1,Deportivo Alavés,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,2,116,58.0,1,2,0,2,23,15,65.2,1,4,1,0.25,8,1,0,1.5517,0.0,1.5517,1.5517,1.0,0.0,3.8793,6.2069,7.2931,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.8334,0.0,0.1633,-0.2673,0.3417,0.3,0,2,1,Negative
Philippe Coutinho Correia,2019/20,1,Barcelona,Midfielder,3,25,13500000.0,16.4182,2,estimated,625,1.0,Prime,0,0,0,1,11,629,57.1818,1,2,2,27,506,440,87.0,3,16,3,0.1875,17,4,9,0.2862,0.2862,3.8633,0.5723,0.0741,1.0,2.8617,2.4324,4.0922,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.0747,0.0893,0.0993,0.0438,0.1,0.4,1,1,1,Neutral
Sergino Dest,2019/20,1,Barcelona,Midfielder,3,25,12000000.0,16.3004,2,estimated,625,1.0,Prime,0,0,0,1,28,1775,63.3929,2,2,1,14,1211,1089,89.9,3,32,11,0.3438,56,13,17,0.1014,0.0507,0.7099,0.1521,0.1429,0.5,2.2817,2.8394,1.6124,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.9894,0.2287,0.0927,0.2618,0.2028,0.371,2,1,0,Positive
Frenkie de Jong,2019/20,1,Barcelona,Defender,2,25,15000000.0,16.5236,2,estimated,625,1.0,Prime,1,0,0,0,34,2900,85.2941,3,2,3,15,2583,2370,91.8,3,60,9,0.15,59,31,27,0.0621,0.0931,0.4655,0.1552,0.1333,1.5,2.8241,1.831,1.1545,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.3188,0.0,0.099,-0.1503,0.2667,0.5333,0,1,2,Negative
Santiago Mina Lorenzo,2019/20,1,Celta Vigo,Midfielder,3,25,10500000.0,16.1669,2,estimated,625,1.0,Prime,0,0,0,1,2,121,60.5,1,2,0,2,36,29,80.6,2,6,1,0.1667,0,0,4,1.4876,0.0,1.4876,1.4876,1.0,0.0,4.4628,0.0,5.2066,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.3237,0.1453,0.0357,0.2314,0.2194,0.475,2,0,1,Positive
Iñaki Williams Arthuer,2019/20,1,Athletic Club,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,173,86.5,1,1,0,3,37,25,67.6,1,2,0,0.0,1,1,3,0.5202,0.0,1.5607,0.5202,0.3333,0.0,1.5607,0.5202,2.4971,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.0511,0.0,0.2007,-0.3043,0.0917,0.3315,0,3,0,Negative
Arnaldo Antonio Sanabria Ayala,2019/20,1,Real Betis,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,70,70.0,1,1,0,2,14,10,71.4,2,4,0,0.0,0,0,0,1.2857,0.0,2.5714,1.2857,0.5,0.0,5.1429,0.0,5.1429,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,76.1598,0.0893,0.183,-0.1223,0.0783,0.8831,1,2,0,Negative
Darwin Daniel Machís Marcano,2019/20,1,Granada,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,138,69.0,1,1,0,3,34,26,76.5,2,6,0,0.0,3,2,2,0.6522,0.0,1.9565,0.6522,0.3333,0.0,5.2174,1.9565,3.5217,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.2581,0.0613,0.17,-0.0816,-0.1,0.3593,1,2,0,Negative
Maximiliano Gómez González,2019/20,1,Valencia,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,2,28,20,71.4,2,9,1,0.1111,1,0,4,0.5,0.0,1.0,0.5,0.5,0.0,4.5,0.5,2.15,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,71.6705,0.1733,0.0993,0.1777,0.1833,0.525,2,1,0,Positive
Carlos Soler Barragán,2019/20,1,Valencia,Midfielder,3,25,12000000.0,16.3004,2,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,2,2,70,55,78.6,2,4,1,0.25,0,3,2,0.5,1.0,1.0,1.5,0.5,2.0,3.5,0.0,4.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.1808,0.0,0.1583,-0.2669,0.05,0.1,0,2,1,Negative
Gabriel Armando de Abreu,2019/20,1,Valencia,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,180,90.0,1,1,0,2,69,59,85.5,3,2,0,0.0,0,6,1,0.5,0.0,1.0,0.5,0.5,0.0,4.0,0.0,2.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.6755,0.1447,0.1473,0.0475,0.1611,0.4775,1,2,0,Neutral
Mouctar Diakhaby,2019/20,1,Valencia,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,117,58.5,1,1,0,1,22,21,95.5,3,1,1,1.0,0,1,2,0.7692,0.0,0.7692,0.7692,1.0,0.0,1.5385,0.0,2.6923,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,79.7139,0.0613,0.1153,-0.0012,-0.1417,0.1278,1,1,1,Neutral
Jorge Molina Vidal,2019/20,1,Granada,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,30,30.0,1,1,0,1,6,4,66.7,1,1,0,0.0,2,0,1,3.0,0.0,3.0,3.0,1.0,0.0,3.0,6.0,12.3,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,85.4855,0.1363,0.0647,0.093,0.1833,0.35,1,1,1,Positive
Willian José da Silva,2019/20,1,Real Sociedad,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,1,0,4,35,30,85.7,3,4,1,0.25,0,1,0,1.0,0.0,4.0,1.0,0.25,0.0,5.0,0.0,5.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,80.2355,0.084,0.165,-0.175,-0.15,0.1917,1,2,0,Negative
Ander Barrenetxea Muguruza,2019/20,1,Real Sociedad,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,65,32.5,1,1,0,1,24,20,83.3,2,2,1,0.5,5,0,3,1.3846,0.0,1.3846,1.3846,1.0,0.0,2.7692,6.9231,6.9231,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,82.4001,0.2737,0.0647,0.2335,0.1833,0.3833,2,1,0,Positive
Alejandro Fernández Iglesias,2019/20,1,Cádiz,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,123,61.5,1,1,0,1,50,33,66.0,1,3,1,0.3333,1,2,0,0.7317,0.0,0.7317,0.7317,1.0,0.0,3.6585,0.7317,2.7805,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,70.9962,0.1683,0.1637,-0.0541,0.35,0.4833,1,2,0,Negative
